HINT	ANSWER	ISNAME	TYPEIN
Вопрос	Генеалогическая принадлежность		
Гегский диалект	Албанский язык<br>Индоевропейская семья	N	r:^(АЛБАНСК(ИЙ|ОГО)(ЯЗЫКА?)?ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Тоскский диалект	Албанский язык<br>Индоевропейская семья	N	r:^(АЛБАНСК(ИЙ|ОГО)(ЯЗЫКА?)?ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Нивхский язык	Язык-изолят	N	r:^((ЯЗЫК)?ИЗОЛЯТ|РОДСТВОНЕУСТАНОВЛЕНО|НЕУСТАНОВЛЕНН?ОЕ?РОДСТВО|НЕТ)
Айнский язык	Язык-изолят	N	r:^((ЯЗЫК)?ИЗОЛЯТ|РОДСТВОНЕУСТАНОВЛЕНО|НЕУСТАНОВЛЕНН?ОЕ?РОДСТВО|НЕТ)
Бурушаски	Язык-изолят	N	r:^((ЯЗЫК)?ИЗОЛЯТ|РОДСТВОНЕУСТАНОВЛЕНО|НЕУСТАНОВЛЕНН?ОЕ?РОДСТВО|НЕТ)
Баскский язык	Язык-изолят	N	r:^((ЯЗЫК)?ИЗОЛЯТ|РОДСТВОНЕУСТАНОВЛЕНО|НЕУСТАНОВЛЕНН?ОЕ?РОДСТВО|НЕТ)
Албанский язык	Индоевропейская семья	N	r:^(ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Осетинский язык	Иранская группа<br>Индоиранская ветвь<br>Индоевропейская семья	N	r:^(ИРАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОИРАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Персидский язык (фарси)	Иранская группа<br>Индоиранская ветвь<br>Индоевропейская семья	N	r:^(ИРАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОИРАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Таджикский язык	Иранская группа<br>Индоиранская ветвь<br>Индоевропейская семья	N	r:^(ИРАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОИРАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Татский язык	Иранская группа<br>Индоиранская ветвь<br>Индоевропейская семья	N	r:^(ИРАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОИРАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Цыганский язык	Индоарийская группа<br>Индоиранская ветвь<br>Индоевропейская семья	N	r:^(ИНДОАРИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОИРАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Хинди и урду	Индоарийская группа<br>Индоиранская ветвь<br>Индоевропейская семья	N	r:^(ИНДОАРИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОИРАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Санскрит (†)	Индоарийская группа<br>Индоиранская ветвь<br>Индоевропейская семья	N	r:^(ИНДОАРИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОИРАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Армянский язык	Армянская ветвь<br>Индоевропейская семья	N	r:^(АРМЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Грабар (†)	Армянская ветвь<br>Индоевропейская семья	N	r:^(АРМЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Греческий язык	Греческая ветвь<br>Индоевропейская семья	N	r:^(ГРЕЧЕСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Русский язык	Восточнославянские языки<br>Славянская группа<br>Балтославянская ветвь<br>Индоевропейская семья	N	r:^(ВОСТОЧНОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])СЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])(БАЛТОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Белорусский язык	Восточнославянские языки<br>Славянская группа<br>Балтославянская ветвь<br>Индоевропейская семья	N	r:^(ВОСТОЧНОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])СЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])(БАЛТОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Украинский язык	Восточнославянские языки<br>Славянская группа<br>Балтославянская ветвь<br>Индоевропейская семья	N	r:^(ВОСТОЧНОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])СЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])(БАЛТОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Польский язык	Западнославянские языки<br>Славянская группа<br>Балтославянская ветвь<br>Индоевропейская семья	N	r:^(ЗАПАДНОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])СЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])(БАЛТОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
