HINT	ANSWER	ISNAME	TYPEIN
Вопрос	Ареал распространения		
Нивхский язык	Сахалин	N	r:^(САХАЛИН)+$
Айнский язык	Хоккайдо (север Японии)	N	r:^(ХОК+АЙДО|СЕВЕРЯПОНИИ)+$
Бурушаски	Кашмир (северо-восток Пакистана)	N	r:^(КАШМИР|((СЕВЕРО)?ВОСТОК|СЕВЕР)ПАКИСТАНА)+$
Баскский язык	Страна Басков (север Испании, юго-запад Франции)	N	r:^(СТРАНАБАСКОВ|СЕВЕРИСПАНИИ|((ЮГО)?ЗАПАД|ЮГ)ФРАНЦИИ)+$
Гегский диалект	Косово (юго-запад Сербии), север Албании	N	r:^(КОСОВО|((ЮГО)?ЗАПАД|ЮГ)СЕРБИИ|СЕВЕРАЛБАНИИ)+$
Тоскский диалект	юг Албании	N	r:^(ЮГАЛБАНИИ)+$
Осетинский язык	{Северная Осетия}, {Южная Осетия}	N	r:^((СЕВЕРНАЯОСЕТИЯ)+(ЮЖНАЯОСЕТИЯ)+|(ЮЖНАЯОСЕТИЯ)+(СЕВЕРНАЯОСЕТИЯ)+)+$
Персидский язык (фарси)	Иран	N	r:^(ИРАН)+$
Таджикский язык	Таджикистан	N	r:^(ТАДЖИКИСТАН)+$
Татский язык	северо-восток Азербайджана	N	r:^(((СЕВЕРО)?ВОСТОК|СЕВЕР)АЗЕРБАЙДЖАНА)+$
Хинди и урду	{Индия}, {Пакистан}	N	r:^((ИНДИЯ)+(ПАКИСТАН)+|(ПАКИСТАН)+(ИНДИЯ)+)+$
Армянский язык	{Армения, юг Грузии}, {Абхазия}	N	r:^((АРМЕНИЯ|ЮГГРУЗИИ)+(АБХАЗИЯ)+|(АБХАЗИЯ)+(АРМЕНИЯ|ЮГГРУЗИИ)+)+$
Греческий язык	{Греция}, {Кипр}	N	r:^((ГРЕЦИЯ)+(КИПР)+|(КИПР)+(ГРЕЦИЯ)+)+$
Русский язык	Россия, Беларусь 	N	r:^(РОС+ИЯ|БЕЛАРУСЬ|БЕЛОРУС+ИЯ)+$
Белорусский язык	Беларусь 	N	r:^(БЕЛАРУСЬ|БЕЛОРУС+ИЯ)+$
Украинский язык	Украина	N	r:^(УКРАИНА)+$
Польский язык	Польша	N	r:^(ПОЛЬША)+$
Кашубский язык	Поморское воеводство (север Польши)	N	r:^(ПОМОРСКОЕВОЕВОДСТВО|СЕВЕРПОЛЬШИ)+$
Верхнелужицкий язык	Саксония (восток Германии)	N	r:^(САКСОНИЯ|ВОСТОКГЕРМАНИИ)+$
Нижнелужицкий язык	Саксония (восток Германии)	N	r:^(САКСОНИЯ|ВОСТОКГЕРМАНИИ)+$
Чешский язык	Чехия	N	r:^(ЧЕХИЯ)+$
Словацкий язык	Словакия	N	r:^(СЛОВАКИЯ)+$
Болгарский язык	Болгария	N	r:^(БОЛГАРИЯ)+$
Македонский язык	Северная Македония	N	r:^(СЕВЕРНАЯМАКЕДОНИЯ)+$
Хорватский язык	Хорватия	N	r:^(ХОРВАТИЯ)+$
Боснийский язык	Босния и Герцеговина	N	r:^(БОСНИЯ|ГЕРЦЕГОВИНА)+$
Словенский язык	Словения	N	r:^(СЛОВЕНИЯ)+$
Сербский язык	Сербия	N	r:^(СЕРБИЯ)+$
Литовский язык	Литва	N	r:^(ЛИТВА)+$
Латышский язык	Латвия	N	r:^(ЛАТВИЯ)+$
Латгальский язык	Латгалия (восток Латвии)	N	r:^(ЛАТГАЛИЯ|ВОСТОКЛАТВИИ)+$
Английский язык	Великобритания, Ирландия, Индия и др.	N	r:^(ВЕЛИКОБРИТАНИЯ|ИРЛАНДИЯ|ИНДИЯ)+$
Немецкий язык	{Германия}, {Швейцария}, {Австрия}	N	r:^((ГЕРМАНИЯ)+(ШВЕЙЦАРИЯ)+(АВСТРИЯ)+|(ГЕРМАНИЯ)+(АВСТРИЯ)+(ШВЕЙЦАРИЯ)+|(ШВЕЙЦАРИЯ)+(ГЕРМАНИЯ)+(АВСТРИЯ)+|(ШВЕЙЦАРИЯ)+(АВСТРИЯ)+(ГЕРМАНИЯ)+|(АВСТРИЯ)+(ГЕРМАНИЯ)+(ШВЕЙЦАРИЯ)+|(АВСТРИЯ)+(ШВЕЙЦАРИЯ)+(ГЕРМАНИЯ)+)+$
Голландский (нидерландский) язык	{Нидерланды}, {Бельгия}	N	r:^((НИДЕРЛАНДЫ|ГОЛ+АНДИЯ)+(БЕЛЬГИЯ)+|(БЕЛЬГИЯ)+(НИДЕРЛАНДЫ|ГОЛ+АНДИЯ)+)+$
Африкаанс	ЮАР 	N	r:^(ЮАР|ЮЖНОАФРИКАНСКАЯ(РЕСПУБЛИКА)?)+$
Фризские языки	север Нидерландов, северо-запад Германии	N	r:^(СЕВЕРНИДЕРЛАНДОВ|СЕВЕРГОЛ+АНДИИ|((СЕВЕРО)?ЗАПАД|СЕВЕР)ГЕРМАНИИ)+$
Исландский язык	Исландия	N	r:^(ИСЛАНДИЯ)+$
Норвежский язык	Норвегия	N	r:^(НОРВЕГИЯ)+$
Шведский язык	Швеция, юго-восток Финляндии	N	r:^(ШВЕЦИЯ|((ЮГО)?ВОСТОК|ЮГ)ФИНЛЯНДИИ)+$
Датский язык	Дания	N	r:^(ДАНИЯ)+$
Фарерский язык	Фарерские острова (север Дании)	N	r:^(ФАРЕР(СКИЕ(ОСТРОВ)?А|Ы)|СЕВЕРДАНИИ)+$
Французский язык	Франция, Швейцария, Бельгия и др.	N	r:^(ФРАНЦИЯ|ШВЕЙЦАРИЯ|ЗАПАДШВЕЙЦАРИИ|БЕЛЬГИЯ|ЮГБЕЛЬГИИ)+$
Итальянский язык	Италия, Ватикан, Сан-Марино	N	r:^(ИТАЛИЯ|ВАТИКАН|САНМАРИНО)+$
Португальский язык	Португалия и др.	N	r:^(ПОРТУГАЛИЯ)+$
Испанский язык	Испания и др.	N	r:^(ИСПАНИЯ)+$
Каталанский язык	{Каталония, Валенсия, Балеарские острова (восток Испании)}, {Андорра}	N	r:^((КАТАЛОНИЯ|ВАЛЕНСИЯ|БАЛЕАР(СКИЕ(ОСТРОВ)?А|Ы)|ВОСТОКИСПАНИИ)+(АНДОР+А)+|(АНДОР+А)+(КАТАЛОНИЯ|ВАЛЕНСИЯ|БАЛЕАР(СКИЕ(ОСТРОВ)?А|Ы)|ВОСТОКИСПАНИИ)+)+$
Окситанский (провансальский) язык	Окситания (юг Франции)	N	r:^(ОКСИТАНИЯ|ЮГФРАНЦИИ)+$
Галисийский язык	Галисия (северо-запад Испании)	N	r:^(ГАЛИСИЯ|((СЕВЕРО)?ЗАПАД|СЕВЕР)ИСПАНИИ)+$
Сардинский язык	остров Сардиния (запад Италии)	N	r:^((ОСТРОВ)?САРДИНИЯ|ЗАПАДИТАЛИИ)+$
Румынский язык	{Румыния}, {Молдавия }	N	r:^((РУМЫНИЯ)+(МОЛДАВИЯ|МОЛДОВА)+|(МОЛДАВИЯ|МОЛДОВА)+(РУМЫНИЯ)+)+$
Ретороманские языки	Швейцария, северо-восток Италии	N	r:^(ШВЕЙЦАРИЯ|((СЕВЕРО)?ВОСТОК|СЕВЕР)ИТАЛИИ)+$
Ирландский язык	Ирландия, Северная Ирландия (северо-запад Великобритании)	N	r:^(ИРЛАНДИЯ|СЕВЕРНАЯИРЛАНДИЯ|((СЕВЕРО)?ЗАПАД|СЕВЕР)ВЕЛИКОБРИТАНИИ)+$
Шотландский язык	Шотландия (север Великобритании)	N	r:^(ШОТЛАНДИЯ|СЕВЕРВЕЛИКОБРИТАНИИ)+$
Валлийский язык	Уэльс (юго-запад Великобритании)	N	r:^(УЭЛЬС|((ЮГО)?ЗАПАД|ЮГ)ВЕЛИКОБРИТАНИИ)+$
Мэнский язык	остров Мэн (запад Великобритании)	N	r:^((ОСТРОВ)?МЭН|ЗАПАДВЕЛИКОБРИТАНИИ)+$
Бретонский язык	Бретань (северо-запад Франции)	N	r:^(БРЕТАНЬ|((СЕВЕРО)?ЗАПАД|СЕВЕР)ФРАНЦИИ)+$
Корнский язык	Корнуолл (юго-запад Великобритании)	N	r:^(КОРНУОЛ+|((ЮГО)?ЗАПАД|ЮГ)ВЕЛИКОБРИТАНИИ)+$
Лезгинский язык	юг Дагестана, север Азербайджана	N	r:^(ЮГДАГЕСТАНА|СЕВЕРАЗЕРБАЙДЖАНА)+$
Агульский язык	юг Дагестана	N	r:^(ЮГДАГЕСТАНА)+$
